player,name,search_key,nationalite,nationalites_brut,postes,nb_clubs,apps_top5,sitelinks,championnats,first_year,last_year,matchs_grands_clubs,score,difficulte
Q10513999,Liam Tomsett,liam tomsett,Royaume-Uni,Royaume-Uni,milieu de terrain,5,0,4,PL,2010,2014,0,4,exclu
Q10514378,Jamie Reckord,jamie reckord,Royaume-Uni,Royaume-Uni,arrière latéral,7,0,4,PL,2010,2016,0,4,exclu
Q10514548,Mike Busch,mike busch,Allemagne,Allemagne,attaquant,4,0,3,BUN,2000,2003,0,3,exclu
Q10514669,Isaías Sánchez,isaias sanchez,Espagne,Espagne,milieu de terrain,4,4,11,LIGA,2006,2013,0,11,exclu
Q10514868,Michael Hector,michael hector,Royaume-Uni,Royaume-Uni,défenseur,13,9,22,PL,2009,2015,0,23,exclu
Q10516779,Francesco Mancini,francesco mancini,Italie,Italie,milieu de terrain,5,0,4,SA,2009,2012,0,4,exclu
Q10518166,Mauricio Salazar,mauricio salazar,Chili,Chili,attaquant,2,17,7,LIGA,2004,2008,17,12,legende
Q10518879,Michael Richardson,michael richardson,Royaume-Uni,Royaume-Uni,milieu de terrain,5,0,5,PL,2010,2014,0,5,exclu
Q10520024,Michael O'Halloran,michael ohalloran,Royaume-Uni,Royaume-Uni,attaquant,6,0,8,PL,2011,2016,0,8,exclu
Q10520287,Ibrahima Tandia,ibrahima tandia,France / Mali,France / Mali,milieu de terrain,5,0,9,L1,2011,2019,0,9,exclu
Q10521567,Giampaolo Calzi,giampaolo calzi,Italie,Italie,milieu de terrain,12,0,4,SA,2002,2015,0,4,exclu
Q10524462,Luca Ricci,luca ricci,Italie,Italie,défenseur,8,2,5,SA,2007,2015,0,5,exclu
Q10524798,Rubén Primo Iznardo,ruben primo iznardo,Espagne,Espagne,défenseur,5,0,5,LIGA,2009,2014,0,5,exclu
Q10526787,Wataru Endō,wataru endo,Japon,Japon,milieu défensif,5,99,66,BUN,2010,2023,0,76,facile
Q10529418,Samuele Bettoni,samuele bettoni,Italie,Italie,arrière latéral,3,0,3,SA,2009,2012,0,3,exclu
Q10529465,Eros Bagnara,eros bagnara,Italie,Italie,attaquant,7,0,4,SA,2004,2011,0,4,exclu
Q10530495,Simone Calvano,simone calvano,Italie,Italie,milieu de terrain,7,0,5,SA,2012,2015,0,5,exclu
Q10530639,Diacko Fofana,diacko fofana,France / Mali,France / Mali,arrière latéral,1,5,7,L1,2012,2014,0,8,exclu
Q10531459,Lilian Bochet,lilian bochet,France,France,milieu de terrain,3,1,3,L1,2010,2013,0,3,exclu
Q10531654,Nicolas Cicut,nicolas cicut,France,France,attaquant,5,0,3,L1,2001,2010,0,3,exclu
Q10533601,Nicolas Bovi,nicolas bovi,Italie,Italie,milieu de terrain,3,0,4,SA,2010,2015,0,4,exclu
Q10535676,Kévin Malaga,kevin malaga,France,France,défenseur,4,3,3,L1,2010,2013,0,3,exclu
Q10535896,Harry Panayiotou,harry panayiotou,Saint-Christophe-et-Niévès,Royaume-Uni,attaquant,8,0,10,PL,2012,2019,0,10,exclu
Q10539605,Guido Davì,guido davi,Italie,Italie,milieu de terrain,3,0,3,SA,2008,2013,0,3,exclu
Q10539634,Marco Tattini,marco tattini,Italie,Italie,milieu de terrain,4,2,4,SA,2009,2012,0,4,exclu
Q10539851,Marco Migliorini,marco migliorini,Italy Lega Pro representative teams,Italie,défenseur central,6,0,9,SA,2011,2016,0,9,exclu
Q10541620,Nicolai Groß,nicolai gross,Allemagne,Allemagne,attaquant,4,32,5,BUN,2009,2013,0,8,legende
Q10542714,Ivan Kurtušić,ivan kurtusic,Serbie,Serbie,milieu de terrain,16,23,3,L1,2002,2014,0,5,legende
Q10542722,Matty Pearson,matty pearson,Royaume-Uni,Royaume-Uni,défenseur,5,0,8,PL,2011,2015,0,8,exclu
Q10543112,Alex Grant,alex grant,Australie,Australie,défenseur,9,0,10,PL,2012,2024,0,10,exclu
Q10543925,Patrick McLaughlin,patrick mclaughlin,Royaume-Uni,Royaume-Uni,milieu de terrain,6,0,6,PL,2008,2019,0,6,exclu
Q10544544,Khalid Boutaïb,khalid boutaib,Maroc,France / Maroc,attaquant,12,30,31,L1,2006,2025,0,34,legende
Q10544594,Jackson Irvine,jackson irvine,Australie,Australie,milieu de terrain,9,56,38,BUN,2009,2026,0,44,difficile
Q10545596,Michael Müller,michael muller,Allemagne,Allemagne,gardien de but,4,19,5,BUN,2007,2014,0,7,legende
Q10546104,Michele Bentoglio,michele bentoglio,Italie,Italie,attaquant,5,0,3,SA,2012,2015,0,3,exclu
Q10547100,Marek Kysela,marek kysela,Tchéquie,Tchéquie,défenseur,2,0,4,SA,2008,2012,0,4,exclu
Q10547163,Jonathan López,jonathan lopez,Espagne,Espagne,gardien de but,11,4,8,LIGA,1998,2015,0,8,exclu
